disease_keggId	drug_keggId
ds:H01354	dr:D01065
ds:H00079	dr:D00407
ds:H00341	dr:D01710
ds:H01635	dr:D01966
ds:H01425	dr:D05032
ds:H01644	dr:D00292
ds:H01663	dr:D02597
ds:H00384	dr:D06347
ds:H01674	dr:D02598
ds:H00063	dr:D06282
ds:H01381	dr:D04977
ds:H01563	dr:D00435
ds:H01549	dr:D00423
ds:H00004	dr:D09951
ds:H01658	dr:D00749
ds:H00047	dr:D00208
ds:H00008	dr:D02994
ds:H00079	dr:D00324
ds:H01594	dr:D00107
ds:H00031	dr:D00960
ds:H00426	dr:D05032
ds:H01431	dr:D06067
ds:H00325	dr:D00590
ds:H01822	dr:D00710
ds:H01611	dr:D00241
ds:H01604	dr:D00088
ds:H01093	dr:D00802
ds:H00630	dr:D03441
ds:H00079	dr:D00526
ds:H01615	dr:D01875
ds:H00042	dr:D00363
ds:H00254	dr:D05884
ds:H01061	dr:D00804
ds:H00024	dr:D00961
ds:H01333	dr:D00734
ds:H00720	dr:D00546
ds:H00032	dr:D06407
ds:H01621	dr:D07538
ds:H01532	dr:D00567
ds:H01602	dr:D01766
ds:H01423	dr:D06057
ds:H01545	dr:D00217
ds:H01632	dr:D02342
ds:H01468	dr:D02994
ds:H01563	dr:D00445
ds:H01602	dr:D01131
ds:H00513	dr:D00085
ds:H00286	dr:D00246
ds:H00964	dr:D00161
ds:H00079	dr:D00371
ds:H00374	dr:D04552
ds:H01509	dr:D03455
ds:H00020	dr:D06409
ds:H00019	dr:D00275
ds:H00014	dr:D01363
ds:H00033	dr:D00420
ds:H01654	dr:D00472
ds:H00705	dr:D08461
ds:H00612	dr:D01228
ds:H00084	dr:D00752
ds:H01587	dr:D03353
ds:H01653	dr:D04750
ds:H01665	dr:D06409
ds:H01431	dr:D00987
ds:H01191	dr:D00109
ds:H00187	dr:D02277
ds:H00174	dr:D00191
ds:H01655	dr:D00238
ds:H01642	dr:D09998
ds:H00362	dr:D07353
ds:H00981	dr:D02331
ds:H01469	dr:D06053
ds:H01681	dr:D05183
ds:H01598	dr:D00473
ds:H00332	dr:D00447
ds:H00083	dr:D03639
ds:H01809	dr:D00533
ds:H01674	dr:D09967
ds:H01637	dr:D00049
ds:H01634	dr:D05276
ds:H00810	dr:D00709
ds:H01422	dr:D01079
ds:H00546	dr:D00285
ds:H01633	dr:D07447
ds:H01635	dr:D01366
ds:H00050	dr:D01459
ds:H01213	dr:D00734
ds:H00340	dr:D02065
ds:H01528	dr:DG00452
ds:H00428	dr:D00203
ds:H01599	dr:D03305
ds:H00001	dr:D02997
ds:H00821	dr:D01733
ds:H01046	dr:D00368
ds:H01609	dr:D10082
ds:H00179	dr:D02030
ds:H00376	dr:D05543
ds:H00149	dr:D03634
ds:H01644	dr:D00588
ds:H01361	dr:D00246
ds:H00081	dr:D08125
ds:H01359	dr:D02147
ds:H01813	dr:D00710
ds:H01642	dr:D03231
ds:H00364	dr:D00323
ds:H01691	dr:D00753
ds:H00262	dr:D00070
ds:H01633	dr:D00421
ds:H01656	dr:D03573
ds:H01464	dr:D07085
ds:H01055	dr:D00804
ds:H00242	dr:D00386
ds:H01505	dr:D10620
ds:H01619	dr:D02720
ds:H00413	dr:D02748
ds:H01599	dr:D00341
ds:H01151	dr:D07647
ds:H01615	dr:D04059
ds:H01540	dr:D00423
ds:H01516	dr:D02934
ds:H01563	dr:D08775
ds:H01640	dr:D06247
ds:H00256	dr:D00292
ds:H00079	dr:D05792
ds:H01595	dr:D02114
ds:H00151	dr:D00163
ds:H00578	dr:D00627
ds:H01381	dr:D03337
ds:H01006	dr:D03931
ds:H01466	dr:D08083
ds:H01554	dr:D01363
ds:H00287	dr:D00742
ds:H00005	dr:D02994
ds:H01086	dr:D00804
ds:H01633	dr:D07499
ds:H00212	dr:D06371
ds:H00042	dr:D00254
ds:H00024	dr:D00989
ds:H00612	dr:D00652
ds:H01684	dr:D01366
ds:H00628	dr:D00163
ds:H00054	dr:D00275
ds:H01712	dr:D00221
ds:H01603	dr:D00443
ds:H01594	dr:D01228
ds:H01673	dr:D01098
ds:H00164	dr:D05867
ds:H01667	dr:D01363
ds:H01644	dr:D00975
ds:H00010	dr:D03150
ds:H01657	dr:D01392
ds:H01644	dr:D06390
ds:H00547	dr:D00285
ds:H01398	dr:D01126
ds:H01604	dr:D03940
ds:H00331	dr:D00947
ds:H01334	dr:D00350
ds:H00630	dr:D04358
ds:H01653	dr:D00136
ds:H00368	dr:D00273
ds:H01714	dr:D08699
ds:H01210	dr:D01108
ds:H01669	dr:D01098
ds:H01635	dr:D00434
ds:H00428	dr:D01203
ds:H01682	dr:D00290
ds:H00630	dr:D00448
ds:H01227	dr:D02598
ds:H00630	dr:D09970
ds:H00285	dr:D02934
ds:H01634	dr:D00295
ds:H00747	dr:D00401
ds:H01593	dr:D04486
ds:H01651	dr:D05386
ds:H01632	dr:D07845
ds:H01620	dr:D02268
ds:H01809	dr:D00109
ds:H01275	dr:D02934
ds:H01875	dr:D03305
ds:H00372	dr:D05295
ds:H01532	dr:D01056
ds:H00413	dr:D02745
ds:H00153	dr:D02690
ds:H00228	dr:D03669
ds:H00295	dr:D00184
ds:H00004	dr:D06413
ds:H01714	dr:D10181
ds:H01691	dr:D02714
ds:H00219	dr:D08797
ds:H00735	dr:D01098
ds:H01502	dr:D00184
ds:H01598	dr:D01616
ds:H00374	dr:D02500
ds:H01587	dr:D08795
ds:H01581	dr:D02631
ds:H00745	dr:D00340
ds:H01093	dr:D00471
ds:H01681	dr:D02971
ds:H01490	dr:D03846
ds:H01635	dr:D01934
ds:H00912	dr:D00742
ds:H01563	dr:D10113
ds:H00080	dr:D00512
ds:H01582	dr:D02011
ds:H00002	dr:D02997
ds:H01596	dr:D10228
ds:H00362	dr:D00439
ds:H00377	dr:D06504
ds:H01662	dr:D00293
ds:H00862	dr:D00560
ds:H01892	dr:D05589
ds:H01633	dr:D00443
ds:H00630	dr:D05045
ds:H01527	dr:D08788
ds:H00578	dr:D00421
ds:H00079	dr:D08227
ds:H01633	dr:D03753
ds:H01464	dr:D10223
ds:H01357	dr:D03697
ds:H00155	dr:D01934
ds:H01362	dr:D02434
ds:H00810	dr:D00538
ds:H00964	dr:D00238
ds:H01597	dr:D00332
ds:H01466	dr:D02715
ds:H01645	dr:D04750
ds:H00791	dr:D08450
ds:H01724	dr:D00018
ds:H00219	dr:D08793
ds:H01719	dr:D00636
ds:H01672	dr:D00742
ds:H01611	dr:D07058
ds:H01808	dr:D00710
ds:H01085	dr:D00436
ds:H01157	dr:D00285
ds:H01625	dr:D01882
ds:H00394	dr:D08804
ds:H00527	dr:D01908
ds:H01299	dr:D01583
ds:H01654	dr:D02754
ds:H01827	dr:D01408
ds:H00239	dr:D01943
ds:H01089	dr:D00581
ds:H01600	dr:D00059
ds:H01632	dr:D02358
ds:H01594	dr:D00487
ds:H00295	dr:D03304
ds:H00217	dr:D04289
ds:H01621	dr:D00106
ds:H01661	dr:D00476
ds:H01106	dr:D01136
ds:H01633	dr:D02358
ds:H01633	dr:D08106
ds:H00030	dr:D00577
ds:H00081	dr:D00745
ds:H01598	dr:D00975
ds:H01621	dr:D01227
ds:H01626	dr:D01896
ds:H01619	dr:D02721
ds:H01649	dr:D00479
ds:H01429	dr:D00252
ds:H00045	dr:D08552
ds:H01639	dr:D00960
ds:H01593	dr:D06078
ds:H01053	dr:D03940
ds:H01624	dr:D09539
ds:H01514	dr:D00280
ds:H01729	dr:D00636
ds:H01563	dr:D02297
ds:H01381	dr:D04427
ds:H01599	dr:D02802
ds:H00368	dr:D02764
ds:H01633	dr:D02342
ds:H01554	dr:D06409
ds:H01508	dr:D03455
ds:H00020	dr:D04715
ds:H01818	dr:D01253
ds:H00021	dr:D02745
ds:H01005	dr:D01277
ds:H00003	dr:D00248
ds:H00020	dr:D01790
ds:H01653	dr:D00801
ds:H00720	dr:D00547
ds:H01632	dr:D00235
ds:H01491	dr:D00407
ds:H00027	dr:D07760
ds:H00023	dr:D00275
ds:H00340	dr:D01209
ds:H01709	dr:D06078
ds:H01461	dr:D00754
ds:H01668	dr:D00168
ds:H01166	dr:D02505
ds:H01644	dr:D02134
ds:H01718	dr:D08788
ds:H01645	dr:D05328
ds:H01423	dr:D00947
ds:H00821	dr:D05697
ds:H00084	dr:D02802
ds:H01269	dr:D02259
ds:H01667	dr:D00287
ds:H01739	dr:D00944
ds:H01563	dr:D00353
ds:H00082	dr:D00401
ds:H00812	dr:D07353
ds:H01609	dr:D00820
ds:H01507	dr:D02598
ds:H01466	dr:D00727
ds:H01665	dr:D01363
ds:H01629	dr:D01551
ds:H00413	dr:D09012
ds:H01464	dr:D02994
ds:H01701	dr:D02250
ds:H00368	dr:D03256
ds:H00037	dr:D00343
ds:H00630	dr:D02994
ds:H01563	dr:D10756
ds:H01598	dr:D00292
ds:H01812	dr:D08786
ds:H00812	dr:D01426
ds:H01481	dr:D03665
ds:H01514	dr:D01253
ds:H01460	dr:D00535
ds:H00428	dr:D07447
ds:H00368	dr:D00579
ds:H01400	dr:D02397
ds:H01761	dr:D02994
ds:H01711	dr:D03246
ds:H00030	dr:D00275
ds:H01645	dr:D00801
ds:H00155	dr:D00434
ds:H01179	dr:D05326
ds:H00286	dr:D03441
ds:H01714	dr:D10501
ds:H01631	dr:D00340
ds:H00021	dr:D05380
ds:H01673	dr:D02920
ds:H00028	dr:D00214
ds:H00413	dr:D00423
ds:H00240	dr:D00443
ds:H01491	dr:D00980
ds:H01643	dr:D01291
ds:H00412	dr:D02747
ds:H01600	dr:D08489
ds:H00344	dr:D00278
ds:H01615	dr:D00720
ds:H00250	dr:D01010
ds:H00331	dr:D02065
ds:H00083	dr:D05094
ds:H01143	dr:D00129
ds:H01635	dr:D10568
ds:H01107	dr:D00471
ds:H01631	dr:D00431
ds:H01508	dr:D01977
ds:H01582	dr:D00049
ds:H01269	dr:D00562
ds:H00413	dr:D08876
ds:H01467	dr:D00734
ds:H01599	dr:D01441
ds:H01633	dr:D00331
ds:H01157	dr:D00344
ds:H00080	dr:D03204
ds:H01615	dr:D03306
ds:H01633	dr:D00432
ds:H01231	dr:D00029
ds:H01563	dr:D07133
ds:H01644	dr:D02542
ds:H01637	dr:D08061
ds:H01674	dr:D02597
ds:H01556	dr:D00341
ds:H01633	dr:D00626
ds:H01669	dr:D00931
ds:H01633	dr:D07526
ds:H01719	dr:D03246
ds:H00413	dr:D10469
ds:H01693	dr:D00142
ds:H00362	dr:D01426
ds:H01633	dr:D02338
