disease_keggId	gene_keggId
ds:H01398	hsa:162417
ds:H00978	hsa:6714
ds:H00527	hsa:10594
ds:H01508	hsa:1029
ds:H00282	hsa:114548
ds:H00016	hsa:1956
ds:H00805	hsa:10002
ds:H00992	hsa:5116
ds:H01872	hsa:10617
ds:H01171	hsa:1557
ds:H00218	hsa:1080
ds:H00141	hsa:2517
ds:H00537	hsa:80184
ds:H00546	hsa:7092
ds:H01413	hsa:3516
ds:H00559	hsa:595
ds:H01400	hsa:2109
ds:H00294	hsa:70
ds:H01657	hsa:79934
ds:H00658	hsa:6658
ds:H01605	hsa:811
ds:H00523	hsa:3845
ds:H01649	hsa:267012
ds:H01460	hsa:6487
ds:H00473	hsa:4722
ds:H00473	hsa:27089
ds:H00594	hsa:9782
ds:H01368	hsa:116228
ds:H00530	hsa:374654
ds:H00002	hsa:3195
ds:H01004	hsa:6899
ds:H01529	hsa:5243
ds:H01027	hsa:64220
ds:H00192	hsa:4337
ds:H00671	hsa:11005
ds:H01130	hsa:114902
ds:H00118	hsa:9526
ds:H01773	hsa:10815
ds:H01158	hsa:55806
ds:H00728	hsa:775
ds:H00471	hsa:51776
ds:H01368	hsa:1355
ds:H00800	hsa:7042
ds:H01354	hsa:10128
ds:H00250	hsa:7253
ds:H00617	hsa:1718
ds:H00476	hsa:1299
ds:H00609	hsa:269
ds:H01513	hsa:1009
ds:H01902	hsa:11107
ds:H01511	hsa:2207
ds:H00292	hsa:7137
ds:H00768	hsa:6884
ds:H00891	hsa:85476
ds:H01118	hsa:56652
ds:H01600	hsa:120892
ds:H01900	hsa:10059
ds:H00516	hsa:2260
ds:H01384	hsa:5428
ds:H00666	hsa:6794
ds:H00166	hsa:8546
ds:H00792	hsa:128637
ds:H00052	hsa:466
ds:H00092	hsa:5896
ds:H00032	hsa:10342
ds:H01485	hsa:80055
ds:H00802	hsa:1277
ds:H00615	hsa:3694
ds:H00516	hsa:7043
ds:H00080	hsa:7124
ds:H00845	hsa:335
ds:H00058	hsa:57679
ds:H00856	hsa:10280
ds:H00610	hsa:6949
ds:H00916	hsa:429
ds:H01668	hsa:2990
ds:H01780	hsa:1180
ds:H01159	hsa:5309
ds:H01815	hsa:23236
ds:H00285	hsa:64127
ds:H00066	hsa:2629
ds:H00608	hsa:1586
ds:H00776	hsa:90167
ds:H01205	hsa:79001
ds:H00606	hsa:79876
ds:H01262	hsa:10841
ds:H00421	hsa:3373
ds:H00025	hsa:7157
ds:H00029	hsa:4288
ds:H00054	hsa:1910
ds:H00185	hsa:445
ds:H00013	hsa:2026
ds:H00596	hsa:10020
ds:H01819	hsa:150094
ds:H00021	hsa:7157
ds:H00633	hsa:1123
ds:H00606	hsa:8120
ds:H00023	hsa:3939
ds:H00068	hsa:4541
ds:H00615	hsa:123041
ds:H00731	hsa:3741
ds:H01187	hsa:4286
ds:H00293	hsa:1824
ds:H00246	hsa:9247
ds:H01202	hsa:387700
ds:H00237	hsa:6204
ds:H01667	hsa:56884
ds:H00802	hsa:113189
ds:H01439	hsa:155382
ds:H00769	hsa:9152
ds:H00662	hsa:2200
ds:H00231	hsa:6521
ds:H00956	hsa:2934
ds:H00043	hsa:4915
ds:H00266	hsa:9420
ds:H01619	hsa:659
ds:H00891	hsa:57128
ds:H01489	hsa:84992
ds:H00003	hsa:4893
ds:H00251	hsa:6528
ds:H00787	hsa:345193
ds:H00031	hsa:634
ds:H00802	hsa:5351
ds:H00810	hsa:1200
ds:H01291	hsa:9499
ds:H00093	hsa:3932
ds:H00638	hsa:8626
ds:H00897	hsa:27445
ds:H00079	hsa:80332
ds:H00205	hsa:5830
ds:H00681	hsa:5663
ds:H00269	hsa:1911
ds:H00025	hsa:3265
ds:H00410	hsa:6927
ds:H00604	hsa:4627
ds:H00264	hsa:1785
ds:H00084	hsa:7043
ds:H00183	hsa:4552
ds:H01552	hsa:1827
ds:H00011	hsa:931
ds:H01434	hsa:718
